releve,point,X_deduit_m,Y_deduit_m,Z_local_cote_m,source_XY,source_Z
Terrasse de droite,P21,-1.693992169537428,-2.608169968642797,0.05,Terrasse de droite.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Terrasse de droite.pdf p.2
Terrasse de droite,P22,-0.06065389310937456,-2.5950947887770237,0.0,Terrasse de droite.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Terrasse de droite.pdf p.2
Terrasse de droite,P23,0.0,-0.0,0.0,Terrasse de droite.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Terrasse de droite.pdf p.2
Terrasse de gauche,P00,0.0,-0.0,0.0,Terrasse de gauche.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Terrasse de gauche.pdf p.2
Terrasse de gauche,P01,3.0428822329668335,-0.0,-0.07,Terrasse de gauche.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Terrasse de gauche.pdf p.2
Terrasse de gauche,P02,7.186002484766018,-0.09172360175140747,-0.17,Terrasse de gauche.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Terrasse de gauche.pdf p.2
Terrasse de gauche,P03,7.195036204797786,-0.8540890177286083,-0.17,Terrasse de gauche.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Terrasse de gauche.pdf p.2
Terrasse de gauche,P04,8.093502020142262,-0.7637171573750879,-0.32,Terrasse de gauche.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Terrasse de gauche.pdf p.2
Terrasse de gauche,P05,8.97537583729384,-0.5991895527480926,-0.33,Terrasse de gauche.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Terrasse de gauche.pdf p.2
Terrasse de gauche,P06,11.059138387364147,-0.559213384510669,-0.41,Terrasse de gauche.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Terrasse de gauche.pdf p.2
Terrasse de gauche,P07,11.084136639422683,1.1000760728028076,-0.4,Terrasse de gauche.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Terrasse de gauche.pdf p.2
Terrasse de gauche,P08,10.210392991023648,1.1027054548322963,-0.43,Terrasse de gauche.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Terrasse de gauche.pdf p.2
Terrasse de gauche,P09,10.18473261276314,1.545107347509288,-0.45,Terrasse de gauche.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Terrasse de gauche.pdf p.2
Terrasse de gauche,P10,10.173466905940431,3.0781864674073156,-0.48,Terrasse de gauche.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Terrasse de gauche.pdf p.2
Terrasse de gauche,P11,10.184254543303233,3.5565786241997563,-0.48,Terrasse de gauche.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Terrasse de gauche.pdf p.2
Terrasse de gauche,P12,11.108958005781055,3.557305289778815,-0.51,Terrasse de gauche.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Terrasse de gauche.pdf p.2
Terrasse de gauche,P13,11.094718706917725,5.137756312459028,-0.51,Terrasse de gauche.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Terrasse de gauche.pdf p.2
Terrasse de gauche,P14,13.684882308262774,5.1622394446745155,-0.58,Terrasse de gauche.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Terrasse de gauche.pdf p.2
Terrasse de gauche,P15,13.609359285333964,5.993843660530048,-0.6,Terrasse de gauche.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Terrasse de gauche.pdf p.2
Terrasse de gauche,P16,13.124589681946365,6.066036929670604,-0.59,Terrasse de gauche.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Terrasse de gauche.pdf p.2
Terrasse de gauche,P17,13.12470919931134,6.066064418664549,-0.59,Terrasse de gauche.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Terrasse de gauche.pdf p.2
Terrasse de gauche,P18,13.110097006269283,9.978600415800912,-0.56,Terrasse de gauche.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Terrasse de gauche.pdf p.2
